Organization Name,2019-20 Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2) [Updated with attendance from 2/2/20],"""Eligibility Status for Spring 2020 Re-Registration 
(begins Jan. 6, 2020)""",Group's Registration Progress,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
Imaginarium,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/IDE,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Imagine Design Engineer,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/imaginefairfutures,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Imagine Fair Futures,Not Started,0,0,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/gaitsfp,LEAD Center Category: Political & Advocacy RSO - Advised by Millicent Morris Chaney
Immersa Techne: Science Fiction Pragmatics,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/improv4charity,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Improv4Charity,Approved,5,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/inchristalone,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
In Christ Alone,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/incolorfilm,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
In Color Film Collective,Approved,2,2,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/inceptatberkeley,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
Incept at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/nationalamericantheatrecompany,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Independent Theatre Company of Berkeley (BITC),Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/igsb,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Indian Graduate Students of Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ISA,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Indian Students Association,Approved,8,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/nativeamericanrrc,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Indigenous and Native Coalition (INC) Recruitment and Retention Center,Approved,6,3,Not Eligible,Sponsored Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gaindigenousmappingnetworkatberkeley,LEAD Center Category: Sponsored - bridges - Advised by Lyone Conner/Lien Truong
Indigenous Mapping Network at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/Indivisible,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Indivisible at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/idiphdstudentgroup,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Infectious Diseases and Immunity PhD Student Group,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gainformationmanagementstudentassociation,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Information Management Student Association,Approved,5,2,Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gainformationtechnologypublicpolicy,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Information Technology & Public Policy,Not Started,1,1,Not Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/inkatberkeley,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Ink at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/InnovateBerkeley,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Innovate at Berkeley,Approved,4,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gainnovationsinresearch,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Innovations in Research,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/InnoWorks,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
InnoWorks of Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/InsideTheLivingRoom,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Inside the Living Room,Approved,4,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/insight,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Insight at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/inspire,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Inspire,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/inspirecreativityinitiative,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Inspire Creativity Initiative at Berkeley,Not Started,0,0,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/instituteforhealthimprovementopenschoolberkeleythe,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
"Institute for Health Improvement Open School, Berkeley, The",Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/iise,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Institute of Industrial and Systems Engineers,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ITE,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Institute of Transportation Engineers at Berkeley,Approved,6,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gaintegrativebiologygraduatestudentassociation,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Integrative Biology Graduate Student Association,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/idbisawesome,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Intellectual Discourse at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/intellectualhistorytheory,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Intellectual History and Theory,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ifj,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Intercollegiate Finance Journal at Berkeley,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/intercp,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
InterCP,Denied,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/gainterdisciplinaryfamilystudiesworkinggroup,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Interdisciplinary Family Studies Working Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gainterdisciplinarygraduatestudentcommitteeforyouthpolicy,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Interdisciplinary Graduate Student Committee on Youth Policy,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/interdisciplinaryresearchconference,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Interdisciplinary Research Conference of Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ISJC,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Interdisciplinary Science Journal Club,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/earlyus,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Interdisciplinary Working Group on the Early US,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/interfaithactioninitiative,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Interfaith Action Initiative,Denied,4,2,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/internationalaffiarsjournalatberkeleythe,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
"International Affairs Journal at Berkeley, The",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/IAABL,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
International Arbitration Association at Berkeley Law,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/internationalassocfortheexchangeofstudentsfortechnicalexperience,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
International Association for the Exchange of Students for Technical Experience,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/ia-students,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
International Building Performance Simulation Association/ASHRAE Berkeley,Approved,4,2,Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/international-business-and-finance,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
International Business and Finance @ Berkeley,Not Started,0,0,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/IBA,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
International Business Association,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/InternationalConsultingClubatBerkeley,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
International Consulting Club at Berkeley,Denied,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/Internationalfamilyunion,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
International Family Union,Approved,5,3,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/IFGFBerkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
International Full Gospel Fellowship at Berkeley,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/igsm,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
International Graduate Student Ministry,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/IntlHouseStudentGardeningClub,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
International House Student Gardening Club,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/internationalhumanrightsworkshop,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
International Human Rights Workshop,Approved,4,2,Not Eligible,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/internationaljusticemissions,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
International Justice Mission,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/edu,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
International Law Society,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/internationaloutreachproject,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
International Outreach Project,Not Started,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/IntlPre-HealthStudentsOrganization,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
International Pre-Health Students Organization,Not Started,2,1,Not Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/gainternationalpublicpolicygroup,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
International Public Policy Group,Not Started,0,0,,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gairaqirefugeeassistanceproject,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
International Refugee Assistance Project at Berkeley Law,Approved,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/IRCB,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
International Relations Council of Berkeley,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/internationalserviceclub,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
